	α15.2,α46.4,α48.4,α51.5,α51.6,α20.4,α15.2.1,α46.4.1,α48.4.1,α51.5.1,α51.6.1,α20.4.1
bSNP824,0.206762711170228,0.0671016827449756,0.125902909058406,0.0492808341131438,0.0724486540996746,0.0371351593905023,0.246235696165627,0.0765798013762907,0.169344304415707,0.10049012834985,0.117228244414079,0.0150074476511612
bSNP831,0.0975723875929083,0.0170640603132271,0.0697525998802978,0.0016534980395713,0.0894688383393383,-0.000891911156086111,0.120855902967758,0.059402303441304,0.0809040097297942,0.063048769990483,0.0773523460666367,0.0335182296152688
bSNP833,0.884270390842354,0.262544145034479,0.193197613059184,0.419667518303855,0.0559733045939212,0.0288427522929084,0.889369166499507,0.369291526167324,0.321053054657652,0.404730620480441,0.127177149027631,0.0191569548916193
bSNP834,0.887021607366887,0.460108525494991,0.270085273174674,0.448448409080563,0.0181613469858534,-0.0052407960802751,0.879777768546775,0.490867782719413,0.221573304805578,0.431723359566258,0.0780831122289239,0.0421914305427958
bSNP835,0.0708214588339967,0.339604312958325,0.248536546442806,0.238520821523449,0.0629434506437491,0.0137253684355788,0.0960133109052553,0.461046636463043,0.325014146982954,0.290910819163967,0.318479608442872,0.0145279205536636
bSNP837,0.321285760557706,0.457855146120305,0.379809927023271,0.359453129843305,0.105830118763955,0.02003706867614,0.807950303043454,0.545858996521896,0.387209974633193,0.392896153822079,0.146939533036689,-0.0194675626997877
bSNP838,0.4464016518857,0.141533737770227,0.141262987588122,0.116080665653416,0.0755630154340395,0.0415025049087427,0.3615169643922,0.145793501320825,0.129330182067945,0.129245077562103,0.141930817330102,0.0187052111577258
bSNP840,0.0644578204099433,0.0364018401599418,0.0486761726316292,0.0298526493828602,0.0577789925998906,0.0154990170011571,0.0441136988922258,0.0339685080676909,0.0459061260074057,0.0381949240619736,0.0732938424560614,0.0272362768186588
bSNP841,0.0650966248382013,0.112336276125216,0.077900049158144,0.0502602821356078,0.0478567215025083,0.0198768028667796,0.0818137348149432,0.200719582957683,0.102025393268433,0.0931994462605997,0.0668643920963188,0.0062128866623831
bSNP844,0.500950152474572,0.0386182073760366,0.0493653649315524,0.0334619670131636,0.057550529847267,0.0247921851301429,0.869037153093525,0.0406260356339701,0.077271837939707,0.0301519565793195,0.0876272678268013,-0.000558479277623869
bSNP845,0.124228431718354,0.0853880988292983,0.0929688458387992,0.0512770249455665,0.0069641177184134,0.0399909291918617,0.116591262338494,0.0690620884218765,0.0986178357319786,0.0855654238446341,0.0355740409433225,-0.015065294904405
